
42, -84, A8:A7:95:F1:FC:3B,  Shinilmiami
43, -84, 30:F7:72:97:90:9B,  Don't Use my Wifi
44, -84, 9C:34:26:43:C4:E8,  DDJS
45, -84, D8:D7:75:95:CD:B6,  MySpectrumWiFib0-2G
46, -85, 9C:34:26:AE:22:E0,  LJB-01
47, -85, 54:13:79:F6:B3:02,  WIFIF6B2FE
48, -86, C2:56:27:07:42:D2,  Linksys10140-guest
49, -86, 3C:7A:8A:7F:B5:48,  The 300
50, -87, B8:EE:0E:AD:92:AA,  MySpectrumWiFia4-2G
51, -87, 30:8D:99:84:05:88,  HP-Print-88-Officejet 4630
52, -88, EC:0E:C4:78:55:A4,  WIFI7855A1
53, -88, 70:F1:96:BC:4C:47,  janeswireless
54, -88, 04:A1:51:28:16:80,  HARBINGER
55, -88, D0:B2:C4:3E:4E:02,  Mark Shaw
56, -88, 3C:7A:8A:7F:E4:E0,  ARRIS-E4E2
57, -89, 5C:8F:E0:51:EA:70,  ARRIS-EA72
58, -89, A8:A7:95:FC:0F:EB,  WIFIFC0FE8
59, -89, B4:75:0E:C5:D7:5A,  Cisco2005
60, -89, 30:F7:72:8D:17:64,  Sophie
61, -89, A8:A7:95:F4:19:EF,  Phil's Wireless
62, -89, 5C:8F:E0:28:09:10,  BatCave
63, -90, 20:0C:C8:01:F5:72,  Minerva
64, -91, 20:4E:7F:2F:E3:E2,  avanti
65, -91, 10:DA:43:16:61:62,  NETGEAR32
66, -91, 9C:34:26:4A:2A:78,  Dands
67, -92, C0:56:27:07:42:D2,  Linksys10140
68, -93, 44:94:FC:A0:87:1F,  smf13

01, -62, 00:3A:98:2C:59:A0,  itpsandbox
02, -68, 1C:E8:5D:CA:E5:F4,  eduroam
03, -72, 1C:E8:5D:CA:07:25,  nyuguest-legacy
04, -72, 1C:E8:5D:CA:07:24,  eduroam
05, -72, 00:3A:98:2B:FD:00,  itpsandbox
06, -73, 1C:E8:5D:CA:54:A2,  nyu-legacy
07, -73, 1C:E8:5D:CA:55:34,  eduroam
08, -73, 1C:E8:5D:CA:55:32,  nyu-legacy
09, -74, 1C:E8:5D:CA:54:A5,  nyuguest-legacy
10, -76, 1C:E8:5D:CA:DD:B4,  eduroam
11, -76, 1C:E8:5D:CA:07:22,  nyu-legacy
12, -76, 44:1C:A8:D4:7B:7D,  DG1670AC2
13, -78, 40:70:09:58:5D:00,  arisoup
14, -78, 98:6B:3D:C6:6E:00,  farah
15, -78, 1C:E8:5D:CA:F3:C5,  nyuguest-legacy
16, -78, EC:0E:C4:78:4B:B4,  WIFI784BB1
17, -78, 1C:E8:5D:CA:58:05,  nyuguest-legacy
18, -79, 44:1C:A8:B5:8E:AA,  WIFIB58EA6
19, -79, 68:14:01:B0:66:18,  gskhome
20, -79, 54:13:79:F7:8B:E6,  10Jboys
21, -79, E4:F4:C6:0F:A3:CC,  Safe House #7
22, -80, 30:F7:72:9A:46:EB,  mayur
23, -80, AC:B3:13:78:EA:00,  Jackie C Internet
24, -80, 42:B8:9A:C0:21:09,  DIRECT-09-HP M252 LaserJet
25, -80, D8:0F:99:B8:A5:90,  RBARR
26, -80, 1C:E8:5D:CA:F3:C4,  eduroam
27, -80, 5C:8F:E0:52:A6:A8,  Gunjan
28, -81, 1C:E8:5D:CA:58:04,  eduroam
29, -81, 92:3B:AD:11:7E:7D,  srepperson33
30, -81, 3C:7A:8A:79:03:88,  ARRIS-038A
31, -81, A8:A7:95:F1:FC:3B,  Shinilmiami
32, -81, C0:C5:22:4E:11:70,  Two Girls, One Router
33, -82, 1C:E8:5D:CA:4D:C2,  nyu-legacy
34, -82, D8:D7:75:95:CD:B6,  MySpectrumWiFib0-2G
35, -82, 1C:E8:5D:CA:4D:C5,  nyuguest-legacy
36, -83, 1C:E8:5D:CA:E3:B5,  nyuguest-legacy
37, -83, 30:F7:72:97:90:9B,  Don't Use my Wifi
38, -84, 9C:34:26:AE:22:E0,  LJB-01
39, -84, 9C:34:26:43:C4:E8,  DDJS
40, -85, 3C:7A:8A:75:77:58,  ARRIS-775A
41, -85, 3C:7A:8A:7F:B5:48,  The 300
42, -86, 3C:7A:8A:78:F9:A0,  poppy
43, -86, 5C:8F:E0:51:EA:70,  ARRIS-EA72
44, -86, 9C:34:26:4A:2A:78,  Dands
45, -86, B8:EE:0E:AD:92:AA,  MySpectrumWiFia4-2G
46, -86, A0:2B:B8:6D:F8:45,  HP-Print-45-Officejet Pro 8610
47, -86, 3C:7A:8A:7F:B4:68,  15J
48, -87, 04:A1:51:28:16:80,  HARBINGER
49, -87, A8:A7:95:F4:19:EF,  Phil's Wireless
50, -87, C0:C5:22:4A:4D:B8,  ARRIS-4DBA
51, -88, E0:46:9A:51:BE:EB,  ADK's Web
52, -88, 30:8D:99:84:05:88,  HP-Print-88-Officejet 4630
53, -88, C2:56:27:07:42:D2,  Linksys10140-guest
54, -89, A8:A7:95:FC:0F:EB,  WIFIFC0FE8
55, -89, 44:1C:A8:B9:AC:6E,  WIFIB9AC6B
56, -89, 3C:7A:8A:7F:E4:E0,  ARRIS-E4E2
57, -89, 8A:2A:A8:03:A6:8D,  Andrew-2G
58, -89, D8:EB:97:2A:F5:2C,  offnet
59, -89, C0:56:27:07:42:D2,  Linksys10140
60, -90, 68:14:01:AA:EC:F2,  dinkis88
61, -90, A0:39:EE:6E:0D:CE,  Call Me Daddy
62, -92, 94:53:30:E6:9C:2D,  Skynet
63, -94, 30:F7:72:8D:17:64,  Sophie

01, -66, 00:3A:98:2C:59:A0,  itpsandbox
02, -66, 00:3A:98:2B:FD:00,  itpsandbox
03, -68, 1C:E8:5D:CA:07:24,  eduroam
04, -69, E4:F4:C6:0F:A3:CC,  Safe House #7
05, -69, 1C:E8:5D:CA:E5:F5,  nyuguest-legacy
06, -69, 1C:E8:5D:CA:07:25,  nyuguest-legacy
07, -70, 1C:E8:5D:CA:DD:B2,  nyu-legacy
08, -70, 1C:E8:5D:CA:DD:B4,  eduroam
09, -71, 42:B8:9A:C0:21:09,  DIRECT-09-HP M252 LaserJet
10, -71, 1C:E8:5D:CA:55:35,  nyuguest-legacy
11, -71, 1C:E8:5D:CA:07:22,  nyu-legacy
12, -72, 1C:E8:5D:CA:55:34,  eduroam
13, -73, 1C:E8:5D:CA:DD:B5,  nyuguest-legacy
14, -74, 3C:7A:8A:7D:AC:88,  ARRIS-AC8A
15, -75, 1C:E8:5D:CA:54:A5,  nyuguest-legacy
16, -77, 54:13:79:F7:8B:E6,  10Jboys
17, -78, 3C:7A:8A:78:F9:A0,  poppy
18, -78, 1C:E8:5D:CA:54:A2,  nyu-legacy
19, -78, 9C:34:26:43:C4:E8,  DDJS
20, -78, 08:3E:0C:E7:8D:90,  NYU_LL
21, -79, EC:0E:C4:78:4B:B4,  WIFI784BB1
22, -79, AC:B3:13:78:EA:00,  Jackie C Internet
23, -79, 92:3B:AD:11:C0:59,  srepperson33
24, -79, 44:1C:A8:D4:7B:7D,  DG1670AC2
25, -79, 1C:E8:5D:CA:F3:C2,  nyu-legacy
26, -80, D8:D7:75:95:CD:B6,  MySpectrumWiFib0-2G
27, -81, D8:D7:75:8B:B5:96,  MySpectrumWiFi90-2G
28, -81, A8:A7:95:F1:FC:3B,  Shinilmiami
29, -81, 9C:34:26:AC:A5:20,  ARRIS-A522
30, -82, 1C:E8:5D:CA:57:52,  nyu-legacy
31, -82, 54:13:79:FC:26:78,  Cameron's House
32, -83, 3C:7A:8A:7F:B5:48,  The 300
33, -83, 5C:8F:E0:52:A6:A8,  Gunjan
34, -83, 30:8D:99:84:05:88,  HP-Print-88-Officejet 4630
35, -83, 44:1C:A8:B5:8E:AA,  WIFIB58EA6
36, -84, A8:A7:95:F4:19:EF,  Phil's Wireless
37, -85, A8:A7:95:FC:0F:EB,  WIFIFC0FE8
38, -86, 9C:34:26:4A:2A:78,  Dands
39, -86, 94:53:30:E6:9C:2D,  Skynet
40, -86, 48:00:33:5E:A5:74,  GGGGGGGG
41, -86, 1C:E8:5D:CA:58:02,  nyu-legacy
42, -87, 68:14:01:B1:42:A6,  WIFIB142A2
43, -87, 68:14:01:AA:EC:F2,  dinkis88
44, -87, EC:0E:C4:78:55:A4,  WIFI7855A1
45, -88, A0:39:EE:6E:0D:CE,  Call Me Daddy
46, -88, 40:B8:9A:EF:89:8A,  bluehaze-2.4G
47, -88, 18:D6:C7:3F:16:F9,  WirelessPUPS
48, -88, 9C:34:26:B2:6B:08,  Apartment 9E
49, -88, C2:56:27:07:42:D2,  Linksys10140-guest
50, -88, 80:2A:A8:03:A6:8D,  Andrew
51, -89, 00:3A:98:36:82:70,  itpsandbox
52, -89, 20:C0:47:28:6D:68,  Qi
53, -89, 3C:7A:8A:7F:E4:E0,  ARRIS-E4E2
54, -89, 30:F7:72:8D:17:64,  Sophie
55, -89, C0:56:27:07:42:D2,  Linksys10140
56, -90, A8:A7:95:FC:18:37,  WIFIFC1834
57, -90, 3C:7A:8A:7F:B4:68,  15J
58, -90, 5C:8F:E0:51:EA:70,  ARRIS-EA72
59, -90, 5C:8F:E0:28:09:10,  BatCave
60, -90, 14:B7:F8:7F:17:5F,  CrumAndConrad
61, -90, 3C:7A:8A:75:77:58,  ARRIS-775A
62, -91, F8:DA:0C:FC:93:45,  DG860A42
63, -91, 24:C9:A1:B8:B8:68,  SpectrumWiFi
64, -92, D6:6A:6A:9D:B8:C3,  DIRECT-c3-HP M477 LaserJet
65, -93, 44:94:FC:A0:87:1F,  smf13
66, -95, A8:A7:95:F0:1F:E7,  WIFIF01FE3

01, -63, 1C:E8:5D:CA:55:34,  eduroam
02, -63, 1C:E8:5D:CA:55:32,  nyu-legacy
03, -63, 1C:E8:5D:CA:55:35,  nyuguest-legacy
04, -65, AC:B3:13:78:EA:00,  Jackie C Internet
05, -68, 1C:E8:5D:CA:E5:F4,  eduroam
06, -68, 00:3A:98:2C:59:A0,  itpsandbox
07, -69, 1C:E8:5D:CA:E5:F2,  nyu-legacy
08, -69, 1C:E8:5D:CA:07:25,  nyuguest-legacy
09, -69, 1C:E8:5D:CA:07:22,  nyu-legacy
10, -70, 1C:E8:5D:CA:E5:F5,  nyuguest-legacy
11, -70, 1C:E8:5D:CA:DD:B2,  nyu-legacy
12, -72, 44:1C:A8:B5:8E:AA,  WIFIB58EA6
13, -72, 42:B8:9A:C0:21:09,  DIRECT-09-HP M252 LaserJet
14, -73, C4:8E:8F:E3:55:D5,  Dean
15, -73, E4:F4:C6:0F:A3:CC,  Safe House #7
16, -74, 00:3A:98:2B:FD:00,  itpsandbox
17, -74, 1C:E8:5D:CA:DD:B5,  nyuguest-legacy
18, -74, 54:13:79:F7:8B:E6,  10Jboys
19, -75, 3C:7A:8A:78:F9:A0,  poppy
20, -76, 1C:E8:5D:CA:49:E4,  eduroam
21, -76, 1C:E8:5D:CA:07:24,  eduroam
22, -76, 3C:7A:8A:7F:E4:E0,  ARRIS-E4E2
23, -76, 1C:E8:5D:CA:49:E2,  nyu-legacy
24, -76, 1C:E8:5D:CA:49:E5,  nyuguest-legacy
25, -77, 92:3B:AD:11:7E:7D,  srepperson33
26, -77, 44:1C:A8:D4:7B:7D,  DG1670AC2
27, -77, 92:3B:AD:11:C0:59,  srepperson33
28, -78, A0:04:60:C5:07:24,  Sethi-HG
29, -78, 80:29:94:FE:D7:22,  spaulding1
30, -78, EC:0E:C4:78:4B:B4,  WIFI784BB1
31, -78, 3C:7A:8A:79:03:88,  ARRIS-038A
32, -78, 40:70:09:58:5D:00,  arisoup
33, -79, 60:6D:C7:BF:EF:F0,  WIFIBFEFEC
34, -81, 98:6B:3D:C6:6E:00,  farah
35, -81, C0:C5:22:4E:11:70,  Two Girls, One Router
36, -82, 84:A1:D1:6A:87:88,  MySpectrumWiFi82-2G
37, -82, 44:1C:A8:BE:73:4E,  Emily8H
38, -82, 90:72:40:15:5D:F6,  Julia/ Ann's Wi-Fi Network
39, -82, B8:EE:0E:AD:92:AA,  MySpectrumWiFia4-2G
40, -82, 10:86:8C:18:9B:A8,  ARRIS-9BAA
41, -83, 1C:E8:5D:CA:F3:C4,  eduroam
42, -83, 9C:34:26:43:C4:E8,  DDJS
43, -85, C2:56:27:07:42:D2,  Linksys10140-guest
44, -85, 78:71:9C:99:71:70,  AK17
45, -85, 20:0C:C8:01:F5:72,  Minerva
46, -85, A8:A7:95:FC:18:37,  WIFIFC1834
47, -85, E0:46:9A:51:BE:EB,  ADK's Web
48, -85, 18:D6:C7:3F:16:F9,  WirelessPUPS
49, -85, C0:56:27:07:42:D2,  Linksys10140
50, -86, B8:EE:0E:F7:E5:4A,  MySpectrumWiFi44-2G
51, -86, A0:39:EE:6E:0D:CE,  Call Me Daddy
52, -86, 30:F7:72:8D:17:64,  Sophie
53, -86, 04:A1:51:28:16:80,  HARBINGER
54, -86, 5C:8F:E0:52:A6:A8,  Gunjan
55, -86, 70:8B:CD:CB:73:78,  Universal GG 2.4
56, -86, D8:D7:75:95:CD:B6,  MySpectrumWiFib0-2G
57, -87, E8:ED:05:5B:0D:D0,  TG1672GD2
58, -87, 3C:7A:8A:7F:B5:48,  The 300
59, -87, B4:2A:0E:82:99:37,  SusanNguyen
60, -87, A8:A7:95:F1:FC:3B,  Shinilmiami
61, -89, 14:B7:F8:11:35:87,  Thu10D
62, -89, 5C:8F:E0:51:EA:70,  ARRIS-EA72
63, -90, 3C:7A:8A:75:77:58,  ARRIS-775A
64, -90, 68:14:01:AA:EC:F2,  dinkis88
65, -90, A8:A7:95:F0:1F:E7,  WIFIF01FE3
66, -90, 44:1C:A8:B9:AC:6E,  WIFIB9AC6B
67, -91, 2C:30:33:F1:7C:93,  NETGEAR44
68, -91, 14:B7:F8:7F:17:5F,  CrumAndConrad
69, -91, A8:A7:95:FC:0F:EB,  WIFIFC0FE8
70, -91, 74:DA:38:72:C3:54,  Dajana
71, -91, EC:0E:C4:78:55:A4,  WIFI7855A1
72, -92, 44:94:FC:A0:87:1F,  smf13
73, -92, 54:13:79:FB:2B:B3,  susan wang
74, -93, 20:C0:47:28:6D:68,  Qi
75, -95, 74:DA:38:59:B5:7E,  SoundwallSetup3713

01, -52, 00:3A:98:2C:59:A0,  itpsandbox
02, -58, 1C:E8:5D:CA:55:32,  nyu-legacy
03, -60, 1C:E8:5D:CA:55:35,  nyuguest-legacy
04, -64, AC:B3:13:78:EA:00,  Jackie C Internet
05, -66, C4:8E:8F:E3:55:D5,  Dean
06, -67, 42:B8:9A:C0:21:09,  DIRECT-09-HP M252 LaserJet
07, -68, 00:3A:98:2B:FD:00,  itpsandbox
08, -68, 1C:E8:5D:CA:58:02,  nyu-legacy
09, -71, 1C:E8:5D:CA:49:E5,  nyuguest-legacy
10, -71, 1C:E8:5D:CA:49:E4,  eduroam
11, -71, 1C:E8:5D:CA:07:24,  eduroam
12, -72, 1C:E8:5D:CA:49:E2,  nyu-legacy
13, -73, E4:F4:C6:0F:A3:CC,  Safe House #7
14, -73, 1C:E8:5D:CA:07:22,  nyu-legacy
15, -73, A8:A7:95:F1:FC:3B,  Shinilmiami
16, -73, 9C:34:26:43:C4:E8,  DDJS
17, -73, 1C:E8:5D:CA:07:25,  nyuguest-legacy
18, -73, 1C:E8:5D:CA:58:05,  nyuguest-legacy
19, -73, 68:14:01:B0:66:18,  gskhome
20, -74, 1C:E8:5D:CA:E5:F5,  nyuguest-legacy
21, -74, 44:1C:A8:B5:8E:AA,  WIFIB58EA6
22, -76, 80:29:94:FE:D7:22,  spaulding1
23, -77, 5C:8F:E0:52:A6:A8,  Gunjan
24, -77, 54:13:79:FC:26:78,  Cameron's House
25, -77, 92:3B:AD:11:7E:7D,  srepperson33
26, -78, 92:3B:AD:11:C0:59,  srepperson33
27, -78, EC:0E:C4:78:4B:B4,  WIFI784BB1
28, -78, 30:8D:99:84:05:88,  HP-Print-88-Officejet 4630
29, -79, D8:D7:75:95:CD:B6,  MySpectrumWiFib0-2G
30, -79, 1C:E8:5D:CA:54:A4,  eduroam
31, -80, 30:F7:72:8D:17:64,  Sophie
32, -80, 3C:7A:8A:78:F9:A0,  poppy
33, -80, 14:B7:F8:7F:17:5F,  CrumAndConrad
34, -80, 9C:34:26:4A:2A:78,  Dands
35, -81, 20:0C:C8:01:F5:72,  Minerva
36, -81, 48:00:33:5E:A5:74,  GGGGGGGG
37, -82, C0:C5:22:4E:11:70,  Two Girls, One Router
38, -82, B4:2A:0E:82:99:37,  SusanNguyen
39, -82, E0:46:9A:51:BE:EB,  ADK's Web
40, -82, 44:1C:A8:D4:7B:7D,  DG1670AC2
41, -82, 60:6D:C7:BF:EF:F0,  WIFIBFEFEC
42, -82, 00:3A:98:2C:66:E0,  itpsandbox
43, -83, 04:A1:51:28:16:80,  HARBINGER
44, -84, 94:53:30:E6:9C:2D,  Skynet
45, -84, C2:56:27:07:42:D2,  Linksys10140-guest
46, -84, C0:56:27:07:42:D2,  Linksys10140
47, -84, A8:A7:95:FC:0F:EB,  WIFIFC0FE8
48, -84, C8:D3:FF:C9:68:42,  DIRECT-41-HP ENVY 5660 series
49, -84, 28:56:5A:CB:ED:28,  SIARETTAP
50, -85, 5C:8F:E0:28:09:10,  BatCave
51, -85, D8:EB:97:2A:F5:2C,  offnet
52, -86, 3C:7A:8A:7F:E4:E0,  ARRIS-E4E2
53, -87, 14:B7:F8:11:35:87,  Thu10D
54, -87, A2:3D:CF:FD:10:30,  Rockledge
55, -87, 3C:7A:8A:75:77:58,  ARRIS-775A
56, -87, A0:39:EE:6E:0D:CE,  Call Me Daddy
57, -87, 44:1C:A8:B9:AC:6E,  WIFIB9AC6B
58, -88, EC:0E:C4:78:55:A4,  WIFI7855A1
59, -89, A8:A7:95:F0:1F:E7,  WIFIF01FE3
60, -89, 5C:8F:E0:51:EA:70,  ARRIS-EA72
61, -89, A0:04:60:0E:D5:E2,  skynet
62, -90, 74:DA:38:59:B5:7E,  SoundwallSetup3713

